issue_date,province_id,lead,probability,base_rate,y_obs
2024-02-03,2,4,0.365691,0.105832,1.0
2024-02-03,2,5,0.377648,0.1059,0.0
2024-02-03,2,6,0.406422,0.105968,0.0
2024-02-04,2,2,0.356555,0.105696,0.0
2024-02-04,2,3,0.400242,0.105764,0.0
2024-02-04,2,4,0.36811,0.105832,1.0
2024-02-04,2,5,0.384288,0.1059,0.0
2024-02-04,2,6,0.405803,0.105968,0.0
2024-02-05,2,2,0.397328,0.105696,0.0
2024-02-05,2,3,0.447298,0.105764,0.0
2024-02-05,2,4,0.411033,0.105832,1.0
2024-02-05,2,5,0.425599,0.1059,0.0
2024-02-05,2,6,0.435695,0.105968,0.0
2024-02-06,2,2,0.401151,0.105696,0.0
2024-02-06,2,3,0.435157,0.105764,0.0
2024-02-06,2,4,0.377244,0.105832,1.0
2024-02-06,2,5,0.381487,0.1059,0.0
2024-02-06,2,6,0.387856,0.105968,0.0
2024-02-07,2,2,0.406828,0.105696,0.0
2024-02-07,2,3,0.488526,0.105764,1.0
2024-02-07,2,4,0.486359,0.105832,1.0
2024-02-07,2,5,0.477867,0.1059,0.0
2024-02-07,2,6,0.483135,0.105968,0.0
2024-02-08,2,2,0.45742,0.105696,0.0
2024-02-08,2,3,0.528211,0.105764,1.0
2024-02-08,2,4,0.537507,0.105832,1.0
2024-02-08,2,5,0.525534,0.1059,0.0
2024-02-08,2,6,0.518218,0.105968,0.0
2024-02-09,2,2,0.488548,0.105696,0.0
2024-02-09,2,3,0.528989,0.105764,1.0
2024-02-09,2,4,0.510773,0.105832,0.0
2024-02-09,2,5,0.508267,0.1059,0.0
2024-02-09,2,6,0.515665,0.105968,0.0
2024-02-10,2,2,0.535154,0.105696,0.0
2024-02-10,2,3,0.579847,0.105764,1.0
2024-02-10,2,4,0.569708,0.105832,0.0
2024-02-10,2,5,0.569562,0.1059,0.0
2024-02-10,2,6,0.561823,0.105968,0.0
2024-02-11,2,2,0.53546,0.105696,0.0
2024-02-11,2,3,0.579722,0.105764,1.0
2024-02-11,2,4,0.567685,0.105832,0.0
2024-02-11,2,5,0.567395,0.1059,0.0
2024-02-11,2,6,0.559254,0.105968,0.0
2024-02-12,2,2,0.491418,0.105696,0.0
2024-02-12,2,3,0.529869,0.105764,1.0
2024-02-12,2,4,0.518894,0.105832,0.0
2024-02-12,2,5,0.51909,0.1059,0.0
2024-02-12,2,6,0.524091,0.105968,0.0
2024-02-13,2,2,0.495537,0.105696,0.0
2024-02-13,2,3,0.533405,0.105764,1.0
2024-02-13,2,4,0.520039,0.105832,0.0
2024-02-13,2,5,0.523939,0.1059,0.0
2024-02-13,2,6,0.522639,0.105968,0.0
2024-02-14,2,2,0.54226,0.105696,1.0
2024-02-14,2,3,0.586718,0.105764,1.0
2024-02-14,2,4,0.57193,0.105832,0.0
2024-02-14,2,5,0.573844,0.1059,0.0
2024-02-14,2,6,0.563266,0.105968,0.0
2024-02-15,2,2,0.511577,0.105696,1.0
2024-02-15,2,3,0.521808,0.105764,1.0
2024-02-15,2,4,0.494037,0.105832,0.0
2024-02-15,2,5,0.491376,0.1059,0.0
2024-02-15,2,6,0.479734,0.105968,0.0
2024-02-16,2,2,0.531311,0.105696,1.0
2024-02-16,2,3,0.561844,0.105764,0.0
2024-02-16,2,4,0.55523,0.105832,0.0
2024-02-16,2,5,0.546481,0.1059,0.0
2024-02-16,2,6,0.550592,0.105968,0.0
2024-02-17,2,2,0.477879,0.105696,1.0
2024-02-17,2,3,0.505619,0.105764,0.0
2024-02-17,2,4,0.496764,0.105832,0.0
2024-02-17,2,5,0.492963,0.1059,0.0
2024-02-17,2,6,0.506974,0.105968,0.0
2024-02-18,2,2,0.428069,0.105696,1.0
2024-02-18,2,3,0.450669,0.105764,0.0
2024-02-18,2,4,0.440462,0.105832,0.0
2024-02-18,2,5,0.440018,0.1059,0.0
2024-02-18,2,6,0.464095,0.105968,0.0
2024-02-19,2,2,0.426719,0.105696,1.0
2024-02-19,2,3,0.442322,0.105764,0.0
2024-02-19,2,4,0.405041,0.105832,0.0
2024-02-19,2,5,0.424649,0.1059,0.0
2024-02-19,2,6,0.45453,0.105968,0.0
2024-02-20,2,2,0.378576,0.105696,1.0
2024-02-20,2,3,0.389698,0.105764,0.0
2024-02-20,2,4,0.347709,0.105832,0.0
2024-02-20,2,5,0.372743,0.1059,0.0
2024-02-20,2,6,0.404054,0.105968,0.0
2024-02-21,2,2,0.300199,0.105696,1.0
2024-02-21,2,3,0.342889,0.105764,0.0
2024-02-21,2,4,0.397964,0.105832,0.0
2024-02-21,2,5,0.408278,0.1059,0.0
2024-02-21,2,6,0.410095,0.105968,0.0
2024-02-22,2,2,0.275658,0.105696,1.0
2024-02-22,2,3,0.301543,0.105764,0.0
2024-02-22,2,4,0.316183,0.105832,0.0
2024-02-22,2,5,0.320749,0.1059,0.0
2024-02-22,2,6,0.345562,0.105968,0.0
2024-02-23,2,2,0.276419,0.105696,0.0
2024-02-23,2,3,0.303618,0.105764,0.0
2024-02-23,2,4,0.317965,0.105832,0.0
2024-02-23,2,5,0.324319,0.1059,0.0
2024-02-23,2,6,0.347085,0.105968,0.0
2024-02-24,2,2,0.293916,0.105696,0.0
2024-02-24,2,3,0.301475,0.105764,0.0
2024-02-24,2,4,0.282377,0.105832,0.0
2024-02-24,2,5,0.297985,0.1059,0.0
2024-02-24,2,6,0.328799,0.105968,0.0
2024-01-30,3,2,0.283223,0.116942,0.0
2024-01-30,3,3,0.341057,0.117017,0.0
2024-01-30,3,4,0.309478,0.117092,0.0
2024-01-30,3,5,0.326608,0.116618,0.0
2024-01-30,3,6,0.368568,0.116051,0.0
2024-01-31,3,2,0.292028,0.116942,0.0
2024-01-31,3,3,0.347634,0.117017,0.0
2024-01-31,3,4,0.315549,0.117092,0.0
2024-01-31,3,5,0.336318,0.116618,0.0
2024-01-31,3,6,0.369491,0.116051,0.0
2024-02-01,3,2,0.274968,0.116942,0.0
2024-02-01,3,3,0.323814,0.117017,0.0
2024-02-01,3,4,0.291669,0.117092,0.0
2024-02-01,3,5,0.305309,0.116618,0.0
2024-02-01,3,6,0.342019,0.116051,0.0
2024-02-02,3,2,0.29015,0.116942,0.0
2024-02-02,3,3,0.33177,0.117017,0.0
2024-02-02,3,4,0.307051,0.117092,0.0
2024-02-02,3,5,0.322327,0.116618,0.0
2024-02-02,3,6,0.355933,0.116051,0.0
2024-02-03,3,2,0.294681,0.116942,0.0
2024-02-03,3,3,0.332464,0.117017,0.0
2024-02-03,3,4,0.313432,0.117092,0.0
2024-02-03,3,5,0.326084,0.116618,0.0
2024-02-03,3,6,0.364769,0.116051,0.0
2024-02-04,3,2,0.342753,0.116942,0.0
2024-02-04,3,3,0.386026,0.117017,0.0
2024-02-04,3,4,0.365602,0.117092,0.0
2024-02-04,3,5,0.379913,0.116618,0.0
2024-02-04,3,6,0.403676,0.116051,0.0
2024-02-05,3,2,0.387657,0.116942,0.0
2024-02-05,3,3,0.436954,0.117017,0.0
2024-02-05,3,4,0.412388,0.117092,0.0
2024-02-05,3,5,0.422711,0.116618,0.0
2024-02-05,3,6,0.438321,0.116051,0.0
2024-02-06,3,2,0.393752,0.116942,0.0
2024-02-06,3,3,0.427018,0.117017,0.0
2024-02-06,3,4,0.380134,0.117092,0.0
2024-02-06,3,5,0.378839,0.116618,0.0
2024-02-06,3,6,0.392248,0.116051,0.0
2024-02-07,3,2,0.414389,0.116942,0.0
2024-02-07,3,3,0.468085,0.117017,0.0
2024-02-07,3,4,0.466711,0.117092,0.0
2024-02-07,3,5,0.445584,0.116618,0.0
2024-02-07,3,6,0.447439,0.116051,0.0
2024-02-08,3,2,0.442401,0.116942,0.0
2024-02-08,3,3,0.51455,0.117017,0.0
2024-02-08,3,4,0.534245,0.117092,0.0
